Time,W,X,Y
8.405,2351.03874449586,1802.248217700382,472.3985965593953
8.405,2124.1774278322328,1995.0648755368304,409.5495295534502
8.425,2235.4989992097203,2021.0567785877884,395.90788299689825
8.425,2285.3416354844403,1973.9290390912388,409.9853680529408
8.446,2149.554366149786,1895.0420903839554,457.1324428745297
8.446,2097.0318833068654,2148.334752182028,449.0217254233043
8.468,2153.6404514967912,1971.9677294052556,411.8245808818409
8.468,2021.140004354933,2069.0492699574065,391.3166016158676
8.489,2006.7912360927774,2066.8291346718165,437.65962581174335
8.49,2212.3955204788354,2035.7137788619796,478.6784551645199
8.511,1896.5995720359722,1983.7895005838568,482.6415888777367
8.512,2068.6562988580818,1944.3842506220476,447.8320398858593
8.533,1897.9375357119513,2009.4050845178954,398.7029955958464
8.533,2151.8164463082035,2079.5139534540917,407.7175061260034
8.552,2110.4699675138627,2112.106638108947,462.5801212468024
8.552,2167.698565356481,2040.047235204809,416.6415183879764
8.573,2037.7724224353544,1956.700082064678,387.52720918769666
8.573,2002.8848821630136,2116.7682227335054,384.68649967728516
8.573,2140.6820906877942,2124.688465425931,442.54346509779816
8.573,2024.6027651868924,2146.746987515954,429.81714707521735
8.592,2063.186214070353,2030.6632888547535,413.4068540790569
8.592,1948.3689063311253,2142.345081399805,448.4082548489794
8.613,2294.5878364436144,2023.1364196741104,441.31531217719294
8.613,2354.043970455721,2231.095433936035,394.3425553034238
8.637,2049.911989621819,2025.1508561856622,458.60978542269334
8.637,2084.8811199475304,2193.217295574093,398.2012859160328
8.658,2206.0776052550855,2023.3009246714469,489.61090365607083
8.658,2317.866281632265,1975.5836720390964,429.8212963718503
8.679,1959.2110027603624,2033.0884040056649,429.8407177932194
8.679,2070.735063312404,2030.704788490728,444.22372526975204
8.701,2197.6711855882218,2004.4108874296246,452.91186104961355
8.701,2025.7463617873073,2003.2865329216363,397.3745549443884
8.723,2249.312510651286,2036.6068230943138,402.2119429936431
8.723,2163.4658888359872,1858.5786764768147,443.02509643401953
8.743,2326.5792377076823,2068.976952304638,442.67716169576937
8.743,2032.2691335700638,1834.824858438132,480.98228727426135
8.743,2121.1139765026173,2037.3928087349477,453.96773188145045
8.743,2108.0378322647575,2232.0058696330493,412.0323098464447
8.764,2130.381722868632,2051.775848688027,399.29504348356824
8.764,2162.893016612916,2007.247602898193,457.33886714063965
8.785,2056.3409533713234,1862.0723403716934,471.5518364729691
8.785,2145.121951919956,2104.74031610324,430.13978067565256
8.806,2229.053442740322,2052.267752857412,413.4183803061155
8.806,2063.9105041741373,1964.1645395430319,504.16135039494
8.826,2348.005930871403,1804.7716230123629,465.69939856485695
8.826,2105.7306447603773,2075.605742801452,521.7042016480625
8.847,2191.6088661350873,2056.633919233495,475.2614264274046
8.847,2022.1868741568635,2139.1199693024746,460.1683008412167
8.867,1808.5757230734005,2178.805831029185,393.9003830016914
8.867,2199.1529152210987,2104.714631641839,407.85524226689057
8.889,2260.23034780993,1798.2138607504428,432.45768761937165
8.889,2221.548674883438,2119.168305764895,422.9351974171263
8.908,2345.843384924854,2042.7519657082557,430.4415544002466
8.908,2242.612680022982,1884.9480704939103,436.17890305857844
8.928,2172.7591234078127,2157.4176115658247,420.3596637673746
8.928,2171.18496595402,2031.4037752993256,418.4328529441806
8.928,2343.478031134085,1996.2585067561042,460.9472225594826
8.928,2185.8228332065537,2021.531149700175,435.15738493323164
8.95,2207.711287593645,1942.8036373283526,382.4492471898127
8.95,2290.94522047112,1808.460468684383,389.45649176492077
8.969,2112.0983932291174,1989.857896375045,408.3499106601874
8.969,2189.8596694501366,2118.106971835943,434.9359062934789
8.991,2130.264190019278,2171.3611769423587,350.5193709281817
8.991,2028.8586150801839,2058.089305237194,354.6260634925614
9.012,2363.90978095274,2036.5338279349,419.11828459602714
9.012,2082.4339770175625,1904.674713235593,431.1603023048365
9.032,2247.7775878161983,2045.207947363159,397.6867023113086
9.032,2067.762135097835,1986.602806699641,443.3837285178319
9.053,2192.7664424315813,1901.7287254277649,469.9499955656016
9.053,2154.712778594841,2097.498887572674,423.0429879132806
9.074,2184.0482003083575,1875.250926348448,407.9548142855492
9.074,2208.5140258684987,2078.091161409105,404.6558862837582
9.074,2071.145127094929,2134.517278708199,455.4863911910927
9.074,2302.558630152417,1939.6492250655422,450.9868713554869
9.096,1853.208358462351,1981.1103459704004,391.50336506108385
9.096,2264.9809900973964,2080.4960442609945,428.50674551814683
9.118,2172.228570116111,1964.6045394445869,413.4513326457185
9.118,2282.611530903056,2096.465774384303,414.10900042595716
9.138,2059.65975164689,2102.249060698262,410.12142598402187
9.138,2359.015216416554,1994.5388709786796,432.00257107582905
9.159,1999.48394630753,2129.332363896465,404.173006663115
9.159,1928.117858587418,2070.619493760913,435.08381350146374
9.18,2088.745544966712,1960.5767590051364,433.59525268772217
9.18,2130.2735788065584,2113.4648686003284,429.9961468973781
9.201,2252.517823397299,2037.9239792953688,495.47111588593134
9.201,2215.900136749944,2098.2171980929043,435.7713895441247
9.221,1966.587442682012,2002.1626911789265,401.5292690188934
9.221,2191.980804855606,2137.7888305971933,444.52184051104416
9.245,2059.4783822556806,2025.8549451242104,431.12854131295774
9.245,2171.8822230732894,2037.1995347640104,438.70518104080895
9.245,2164.115677523549,2258.987557094384,454.63122745817503
9.245,2212.1302182196646,2069.981662491402,455.4981203833364
9.263,2162.9170195076017,2108.9347397038723,408.0708261773862
9.263,2350.9971001096837,2027.1639382364442,409.3855746706009
9.285,2298.565750721657,2020.6926698300679,451.63855917645475
9.285,2330.9172372163052,1890.6031313497244,414.44469722463947
9.305,2177.434285126926,2154.989704952155,473.1464814371838
9.305,1997.6110574489041,2096.5885414323484,455.32126353702364
9.325,2059.305993341251,2020.863367742735,449.7947940624116
9.325,2127.159640066788,2076.756316340299,475.2369262834594
9.346,2183.228117471635,2089.6426068786695,431.80539505773
9.346,2173.52417777471,1857.239791031324,470.8354706391354
9.366,2084.670833324737,1976.2642207011568,425.5803980261362
9.366,2217.141874916763,1867.5668200749396,390.8491405094887
9.388,1978.8868813998276,2120.8758442983512,443.7311134760027
9.388,2215.422170511711,2040.8944833614141,425.31863822752325
9.408,2203.02787284013,2011.7487285512457,452.69243053991437
9.408,2195.018678761105,2200.3745225835632,430.27079989820754
9.408,2262.19848660371,2105.457921696926,458.29440190071824
9.408,2162.186037040101,2119.6281510402573,416.54207435743103
9.429,2094.17049828254,2096.5446905529816,415.11670940814633
9.429,2173.750557472126,2058.006281778816,426.65936167602604
9.45,2108.8446223387914,1980.120683624156,389.3044347702784
9.45,2175.1876065707424,1935.911421089053,439.73096764860736
9.47,2231.382704301664,1933.9324849427994,407.506003047894
9.47,2048.025966628522,1971.3515237436086,454.8844435609532
9.491,2288.565501716209,1968.6444280196627,427.1469714940184
9.491,2169.3311467263875,1771.0890131526157,432.2022402629457
9.512,2298.387314573401,2056.7889693122697,423.07304884683816
9.512,2116.1923289908123,2073.339194540001,410.5520937768062
9.532,1984.5701538841042,2057.015295692863,431.5524863742368
9.532,2070.520258173387,2340.1659350993777,525.6179569585489
9.552,2054.577125956261,2041.3373400396024,450.42238646276934
9.552,2353.0237326861907,2118.4296382464295,405.5249097190248
9.573,2159.87699889476,2104.3437239781956,456.695074510123
9.573,2180.2183321056464,1921.7596813835844,439.07432447403335
9.573,2307.7682028513887,2061.7395003898323,483.8056738773816
9.574,2096.7721090456353,1996.7308394370486,469.28976471896596
9.593,2205.272845441241,2121.160176745505,434.2622745191258
9.593,2204.314484763194,2016.322751171599,410.63279336195717
9.616,2082.769879230776,1876.4753534337337,397.7604761720723
9.616,2186.0165933216394,2052.092780393797,416.35775205246483
9.635,2076.894803762639,2109.10772771692,394.11016768500923
9.635,2122.498288163628,1923.9482293968524,426.211237977165
9.656,2049.9594378397214,1960.3104430492147,450.93381218866205
9.656,2313.5409442056325,1937.1570016932128,455.71976231772163
9.677,1972.3473387025326,1919.9905118129261,488.781809495938
9.678,2141.58768786807,2044.558960488776,434.35898713760344
9.697,1957.180833209532,2146.2210645544355,455.1902324820129
