Time,W,X,Y
3.974,2128,1702,435
3.995,2121,1712,452
3.995,2121,1712,452
4.016,2101,1714,431
4.016,2101,1714,431
4.038,2108,1724,438
4.038,2108,1724,438
4.059,2116,1722,431
4.059,2116,1722,431
4.078,2114,1715,426
4.079,2114,1715,426
4.079,2119,1709,430
4.079,2119,1709,430
4.1,2122,1716,439
4.1,2122,1716,439
4.12,2111,1716,414
4.12,2111,1716,414
4.141,2113,1706,432
4.141,2113,1706,432
4.162,2135,1712,432
4.162,2135,1712,432
4.183,2108,1711,427
4.183,2108,1711,427
4.203,2118,1716,418
4.203,2118,1716,418
4.224,2124,1703,456
4.224,2124,1703,456
4.245,2111,1712,434
4.245,2111,1712,434
4.245,2124,1708,428
4.245,2124,1708,428
4.265,2117,1714,438
4.265,2117,1714,438
4.286,2099,1703,421
4.286,2099,1703,421
4.308,2118,1714,433
4.308,2118,1714,433
4.328,2123,1715,438
4.328,2123,1715,438
4.351,2103,1720,438
4.351,2103,1720,438
4.37,2110,1716,429
4.37,2110,1716,429
4.391,2117,1717,425
4.391,2117,1717,425
4.412,2115,1729,414
4.412,2115,1729,414
4.412,2117,1720,426
4.412,2117,1720,426
4.432,2111,1699,427
4.432,2111,1699,427
4.454,2116,1707,426
4.454,2116,1707,426
4.475,2104,1709,427
4.475,2104,1709,427
4.495,2112,1711,424
4.495,2112,1711,424
4.517,2116,1722,436
4.517,2116,1722,436
4.537,2119,1711,433
4.537,2119,1711,433
4.557,2112,1711,436
4.557,2112,1711,436
4.578,2119,1715,417
4.578,2119,1715,417
4.578,2113,1719,414
4.578,2113,1719,414
4.598,2116,1711,428
4.598,2116,1711,428
4.62,2118,1715,427
4.62,2118,1715,427
4.643,2116,1703,429
4.643,2116,1703,429
4.662,2106,1711,436
4.662,2106,1711,436
4.683,2122,1710,435
4.683,2122,1710,435
4.703,2116,1720,431
4.703,2116,1720,431
4.723,2119,1713,425
4.723,2119,1713,425
4.766,2118,1728,437
4.766,2118,1728,437
4.766,2102,1703,427
4.766,2102,1703,427
4.767,2116,1706,439
4.767,2116,1706,439
4.785,2120,1710,434
4.785,2120,1710,434
4.806,2119,1720,428
4.807,2119,1720,428
4.827,2109,1717,429
4.827,2109,1717,429
4.848,2123,1706,417
4.848,2123,1706,417
4.868,2121,1725,424
4.868,2121,1725,424
4.891,2128,1720,430
4.891,2128,1720,430
4.911,2128,1717,434
4.911,2128,1717,434
4.912,2117,1708,423
4.912,2117,1708,423
4.952,2118,1724,430
4.952,2118,1724,430
4.952,2124,1715,423
4.954,2124,1715,423
4.973,2115,1717,431
4.974,2115,1717,431
4.996,2105,1723,435
4.996,2105,1723,435
5.016,2112,1712,431
5.016,2112,1712,431
5.037,2112,1707,422
5.037,2112,1707,422
5.057,2122,1721,439
5.057,2122,1721,439
5.079,2120,1710,435
5.079,2120,1710,435
5.079,2106,1721,427
5.079,2106,1721,427
5.099,2115,1713,434
5.099,2115,1713,434
5.142,2109,1708,432
5.142,2109,1708,432
5.142,2113,1716,429
5.143,2112,1713,437
5.162,2112,1713,437
5.162,2109,1718,414
5.183,2109,1718,414
5.183,2111,1708,427
5.204,2111,1708,427
5.204,2121,1699,442
5.225,2121,1699,442
5.225,2123,1709,441
5.247,2123,1709,441
5.247,2108,1716,435
5.247,2108,1716,435
5.248,2128,1714,437
5.266,2128,1714,437
5.266,2116,1725,449
5.288,2116,1725,449
5.288,2112,1734,435
5.308,2112,1734,435
5.308,2105,1729,422
5.329,2105,1729,422
5.33,2118,1735,433
5.35,2118,1735,433
5.35,2115,1722,427
5.371,2115,1722,427
5.371,2166,1738,417
5.393,2166,1738,417
5.393,2112,1732,426
5.409,2112,1732,426
5.41,2122,1746,427
5.41,2122,1746,427
5.41,2122,1738,418
5.43,2122,1738,418
5.43,2123,1755,423
5.453,2123,1755,423
5.454,2132,1739,419
5.473,2132,1739,419
5.473,2126,1775,428
5.494,2126,1775,428
5.495,2134,1749,426
5.517,2134,1749,426
5.517,2134,1781,421
5.536,2134,1781,421
5.536,2154,1785,410
5.557,2154,1785,410
5.557,2133,1775,424
5.578,2133,1775,424
5.578,2145,1764,428
5.578,2145,1764,428
5.578,2155,1819,443
5.6,2155,1819,443
5.6,2146,1835,434
5.621,2146,1835,434
5.621,2151,1831,445
5.641,2151,1831,445
5.641,2141,1857,420
5.662,2141,1857,420
5.662,2139,1880,395
5.682,2139,1880,395
5.682,2152,1873,429
5.704,2152,1873,429
5.704,2136,1846,423
5.724,2136,1846,423
5.724,2140,1907,433
5.744,2140,1907,433
5.744,2121,1936,413
5.745,2121,1936,413
5.745,2103,1955,374
5.765,2103,1955,374
5.765,2138,1952,439
5.806,2138,1952,439
5.806,2116,1957,445
5.806,2116,1957,445
5.806,2106,1943,423
5.827,2106,1943,423
5.827,2113,1936,422
5.848,2113,1936,422
5.848,2129,1928,440
5.868,2129,1928,440
5.868,2125,1934,407
5.889,2125,1934,407
5.889,2125,1967,437
5.909,2125,1967,437
5.909,2118,1978,415
5.909,2118,1978,415
5.909,2119,1949,458
5.93,2119,1949,458
5.93,2121,1945,453
5.951,2121,1945,453
5.951,2120,1954,431
5.97,2120,1954,431
5.97,2141,1988,424
5.99,2141,1988,424
5.991,2123,1961,393
6.012,2123,1961,393
6.012,2101,1963,418
6.034,2101,1963,418
6.034,2124,1953,410
6.054,2124,1953,410
6.054,2137,1976,433
6.075,2137,1976,433
6.075,2122,1993,442
6.075,2122,1993,442
6.075,2129,1988,448
6.096,2129,1988,448
6.096,2129,2008,414
6.117,2129,2008,414
6.117,2127,1983,434
6.138,2127,1983,434
6.138,2134,2001,445
6.158,2134,2001,445
6.158,2134,2015,445
6.18,2134,2015,445
6.18,2151,1981,427
6.201,2151,1981,427
6.201,2123,1989,426
6.223,2123,1989,426
6.223,2112,1981,438
6.243,2112,1981,438
6.244,2143,2006,435
6.244,2143,2006,435
6.244,2148,1994,446
6.264,2148,1994,446
6.264,2126,2007,426
6.284,2126,2007,426
6.284,2133,1997,427
6.308,2133,1997,427
6.308,2136,1999,404
6.326,2136,1999,404
6.326,2156,2000,446
6.347,2156,2000,446
6.347,2131,2004,432
6.368,2131,2004,432
6.368,2152,2041,401
6.388,2152,2041,401
6.388,2132,1996,432
6.409,2132,1996,432
6.409,2116,1979,476
6.409,2116,1979,476
6.409,2133,2006,450
6.43,2133,2006,450
6.43,2129,2015,421
6.472,2129,2015,421
6.472,2155,1978,432
6.472,2155,1978,432
6.472,2133,2007,408
6.493,2133,2007,408
6.493,2112,1998,417
6.513,2112,1998,417
6.513,2143,2010,437
6.534,2143,2010,437
6.534,2144,2010,438
6.555,2144,2010,438
6.555,2134,1969,469
6.577,2134,1969,469
6.577,2129,1994,426
6.578,2129,1994,426
6.578,2125,1990,406
6.597,2125,1990,406
6.597,2139,1993,419
6.617,2139,1993,419
6.617,2127,2014,420
6.637,2127,2014,420
6.638,2141,2011,399
6.659,2141,2011,399
6.659,2126,1997,434
6.679,2126,1997,434
6.679,2125,1967,435
6.702,2125,1967,435
6.702,2142,2002,429
6.72,2142,2002,429
6.72,2128,1995,420
6.741,2128,1995,420
6.741,2146,1990,442
6.741,2146,1990,442
6.741,2136,2007,431
6.764,2136,2007,431
6.764,2147,1997,426
6.782,2147,1997,426
6.783,2135,2004,450
6.804,2135,2004,450
6.804,2136,1992,457
6.826,2136,1992,457
6.826,2133,2009,398
6.846,2133,2009,398
6.846,2119,2002,429
6.866,2119,2002,429
6.866,2135,1994,430
6.887,2135,1994,430
6.887,2136,1996,434
6.907,2136,1996,434
6.907,2121,2031,413
6.907,2121,2031,413
6.908,2113,1997,422
6.928,2113,1997,422
6.928,2133,2002,433
6.948,2133,2002,433
6.948,2134,1997,416
6.968,2134,1997,416
6.968,2129,2004,444
6.992,2129,2004,444
6.992,2133,2001,438
7.033,2133,2001,438
7.033,2125,1992,445
7.033,2125,1992,445
7.033,2133,2039,428
7.054,2133,2039,428
7.054,2143,2007,425
7.077,2143,2007,425
7.077,2133,1999,417
7.077,2133,1999,417
7.077,2131,2013,427
7.097,2131,2013,427
7.097,2140,2018,417
7.117,2140,2018,417
7.117,2125,2023,429
7.137,2125,2023,429
7.138,2124,1998,401
7.159,2124,1998,401
7.159,2133,2006,405
7.179,2133,2006,405
7.179,2139,2026,436
7.201,2139,2026,436
7.201,2133,2025,397
7.223,2133,2025,397
7.223,2124,2011,427
7.243,2124,2011,427
7.243,2127,1991,427
7.243,2127,1991,427
7.243,2131,2009,450
7.264,2131,2009,450
7.264,2139,2041,472
7.285,2139,2041,472
7.285,2164,2010,437
7.306,2164,2010,437
7.306,2134,2012,420
7.322,2134,2012,420
7.323,2147,2018,377
7.344,2147,2018,377
7.344,2129,2012,438
7.364,2129,2012,438
7.364,2140,2057,433
7.386,2140,2057,433
7.386,2128,2037,400
7.406,2128,2037,400
7.406,2125,2024,445
7.407,2125,2024,445
7.407,2125,2022,402
7.428,2125,2022,402
7.428,2133,2023,432
7.449,2133,2023,432
7.449,2141,2009,464
7.468,2141,2009,464
7.468,2129,2025,447
7.489,2129,2025,447
7.489,2127,2004,439
7.509,2127,2004,439
7.509,2127,2040,458
7.53,2127,2040,458
7.53,2143,2019,430
7.552,2143,2019,430
7.552,2137,2010,447
7.573,2137,2010,447
7.573,2134,2020,399
7.573,2134,2020,399
7.573,2114,2013,428
7.595,2114,2013,428
7.595,2144,2075,415
7.615,2144,2075,415
7.615,2125,1997,425
7.637,2125,1997,425
7.637,2154,1987,446
7.658,2154,1987,446
7.658,2158,1998,392
7.678,2158,1998,392
7.678,2133,2002,409
7.701,2133,2002,409
7.701,2154,2037,391
7.722,2154,2037,391
7.722,2143,2013,399
7.743,2143,2013,399
7.743,2136,2047,440
7.762,2136,2047,440
7.762,2141,1998,426
7.783,2141,1998,426
7.783,2128,1992,406
7.783,2128,1992,406
7.783,2146,2015,436
7.805,2146,2015,436
7.805,2147,2014,458
7.824,2147,2014,458
7.824,2135,2023,415
7.844,2135,2023,415
7.844,2119,2024,489
7.886,2119,2024,489
7.886,2141,2011,494
7.886,2141,2011,494
7.886,2128,2013,427
7.906,2128,2013,427
7.906,2148,2012,444
7.906,2148,2012,444
7.906,2144,2007,425
7.927,2144,2007,425
7.927,2137,2010,429
7.948,2137,2010,429
7.948,2137,2037,432
7.968,2137,2037,432
7.968,2132,2003,376
7.99,2132,2003,376
7.99,2123,2008,428
8.011,2123,2008,428
8.012,2122,2004,446
8.033,2122,2004,446
8.033,2140,2003,381
8.054,2140,2003,381
8.054,2135,2006,444
8.075,2135,2006,444
8.075,2120,2031,431
8.075,2120,2031,431
8.076,2147,2009,455
8.096,2147,2009,455
8.096,2139,2010,473
8.116,2139,2010,473
8.116,2128,2038,454
8.138,2128,2038,454
8.138,2141,2013,434
8.179,2141,2013,434
8.179,2128,1998,414
8.179,2128,1998,414
8.179,2139,2058,430
8.198,2139,2058,430
8.198,2122,2032,428
8.219,2122,2032,428
8.219,2132,2008,463
8.24,2132,2008,463
8.241,2131,1999,442
8.241,2131,1999,442
8.241,2137,2033,439
8.261,2137,2033,439
8.261,2149,2032,450
8.28,2149,2032,450
8.28,2151,2021,463
8.301,2151,2021,463
8.301,2119,2028,440
8.321,2119,2028,440
8.321,2131,2014,427
8.343,2131,2014,427
8.344,2142,2037,455
8.362,2142,2037,455
8.362,2131,2020,441
8.382,2131,2020,441
8.382,2148,2043,450
8.405,2148,2043,450
8.405,2162,1983,463
8.405,2162,1983,463
8.405,2132,2015,405
8.425,2132,2015,405
8.425,2141,1987,412
8.446,2141,1987,412
8.446,2123,2017,408
8.468,2123,2017,408
8.468,2166,2014,430
8.489,2166,2014,430
8.49,2130,2001,461
8.511,2130,2001,461
8.512,2134,2017,420
8.533,2134,2017,420
8.533,2127,2020,423
8.552,2127,2020,423
8.552,2140,2015,442
8.573,2133,2028,418
8.573,2140,2015,442
8.573,2133,2028,418
8.573,2134,2022,402
8.592,2134,2022,402
8.592,2128,2028,443
8.613,2128,2028,443
